,Title,Year,Genre,IMDB_Score,Metascore,Votes,US_Gross
391,Zookeeper,2011,"Comedy, Family, Romance",5.2,30,51921,936662225
392,The Mummy,2017,"Action, Adventure, Fantasy",5.5,34,150158,936662225
393,Goosebumps,2015,"Adventure, Comedy, Family",6.3,60,71641,936662225
394,Jack Reacher,2012,"Action, Crime, Thriller",7,50,281850,936662225
395,Dear John,2010,"Drama, Romance, War",6.3,43,127220,936662225
396,Knowing,2009,"Action, Drama, Mystery",6.2,41,207586,936662225
397,War Horse,2011,"Drama, History, War",7.2,72,135045,936662225
398,Dark Shadows,2012,"Comedy, Fantasy, Horror",6.2,55,227569,936662225
399,Hannah Montana: The Movie,2009,"Comedy, Drama, Family",4.4,47,36545,936662225
400,Limitless,2011,"Mystery, Sci-Fi, Thriller",7.4,59,487725,936662225
401,The Purge: Election Year,2016,"Action, Horror, Sci-Fi",6,55,78891,936662225
402,Pixels,2015,"Action, Comedy, Sci-Fi",5.6,27,118349,936662225
403,Tower Heist,2011,"Action, Comedy, Crime",6.2,59,124306,936662225
404,The Monuments Men,2014,"Comedy, Drama, History",6.1,52,116790,936662225
405,Americons,2017,"Action, Biography, Crime",4,25,186,936662225
406,The Adventures of Tintin,2011,"Animation, Action, Adventure",7.3,68,200917,936662225
407,Night School,2018,Comedy,5.6,43,20204,936662225
408,Parental Guidance,2012,"Comedy, Family",6.1,36,23593,936662225
409,Where the Wild Things Are,2009,"Adventure, Drama, Family",6.8,71,96011,936662225
410,The A-Team,2010,"Action, Adventure, Comedy",6.8,47,233850,936662225
411,Alice Through the Looking Glass,2016,"Adventure, Family, Fantasy",6.2,34,78090,936662225
412,Knight and Day,2010,"Action, Adventure, Comedy",6.3,46,168759,936662225
413,Paddington,2014,"Adventure, Comedy, Family",7.2,77,82976,936662225
414,Pete's Dragon,2016,"Action, Adventure, Comedy",6.7,71,48724,936662225
415,The Intern,2015,"Comedy, Drama",7.1,51,189223,936662225
416,Contagion,2011,"Action, Drama, Thriller",6.6,70,200196,936662225
417,We Bought a Zoo,2011,"Comedy, Drama, Family",7.1,58,125825,936662225
418,2 Guns,2013,"Action, Comedy, Crime",6.7,55,180529,936662225
419,Moneyball,2011,"Biography, Drama, Sport",7.6,87,323184,936662225
420,Zombieland,2009,"Adventure, Comedy, Horror",7.6,73,452871,936662225
421,The Hitman's Bodyguard,2017,"Action, Comedy, Thriller",6.9,47,157792,936662225
