,Title,Year,Genre,IMDB_Score,Metascore,Votes,US_Gross
456,Mr. Popper's Penguins,2011,"Comedy, Family, Fantasy",6,53,79704,936662225
457,Skyscraper,2018,"Action, Adventure, Thriller",5.8,51,74418,936662225
458,War Room,2015,Drama,6.4,26,11537,936662225
459,The Tourist,2010,"Action, Adventure, Thriller",6,37,204991,936662225
460,This Is 40,2012,"Comedy, Romance",6.2,59,117975,936662225
461,Instant Family,2018,"Comedy, Drama",7.4,57,33771,936662225
462,A Good Day to Die Hard,2013,"Action, Thriller",5.3,28,187036,936662225
463,Insidious: The Last Key,2018,"Horror, Mystery, Thriller",5.7,49,40194,936662225
464,Lights Out,2016,"Drama, Horror, Mystery",6.3,58,98502,936662225
465,Hacksaw Ridge,2016,"Biography, Drama, History",8.1,71,358479,936662225
466,Race to Witch Mountain,2009,"Action, Adventure, Family",5.7,52,50591,936662225
467,The Bounty Hunter,2010,"Action, Comedy, Romance",5.6,22,111467,936662225
468,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,"Comedy, Family",6.2,54,36771,936662225
469,Contraband,2012,"Action, Crime, Drama",6.5,51,111020,936662225
470,Looper,2012,"Action, Crime, Drama",7.4,84,496056,936662225
471,The Final Destination,2009,Horror,5.2,30,88025,936662225
472,Warm Bodies,2013,"Comedy, Horror, Romance",6.9,60,207346,936662225
473,Allegiant,2016,"Action, Adventure, Mystery",5.7,33,93243,936662225
474,Magic Mike XXL,2015,"Comedy, Drama, Music",5.6,60,48063,936662225
475,Madea's Witness Protection,2012,"Comedy, Crime, Drama",5,42,9425,936662225
476,The Taking of Pelham 123,2009,"Action, Crime, Thriller",6.4,55,171735,936662225
477,Battleship,2012,"Action, Adventure, Sci-Fi",5.8,41,224153,936662225
478,The Visit,2015,"Comedy, Horror, Mystery",6.2,55,100958,936662225
479,Jack the Giant Slayer,2013,"Adventure, Fantasy",6.3,51,121888,936662225
480,Think Like a Man Too,2014,"Comedy, Romance",5.8,38,18362,936662225
481,Now You See Me 2,2016,"Action, Adventure, Comedy",6.5,46,211227,936662225
482,Exodus: Gods and Kings,2014,"Action, Adventure, Drama",6,52,149735,936662225
483,Friday the 13th,2009,"Horror, Mystery, Thriller",5.6,34,88061,936662225
484,Pitch Perfect,2012,"Comedy, Music, Romance",7.2,66,254018,936662225
485,Mirror Mirror,2012,"Adventure, Comedy, Drama",5.6,46,78962,936662225
486,Chronicle,2012,"Drama, Sci-Fi, Thriller",7.1,69,227899,936662225
487,A Dog's Purpose,2017,"Adventure, Comedy, Drama",7.1,43,51472,936662225
488,The Purge,2013,"Horror, Thriller",5.7,41,180799,936662225
489,The Wedding Ringer,2015,Comedy,6.7,35,66411,936662225
490,The Nut Job,2014,"Animation, Adventure, Comedy",5.7,37,24362,936662225
491,17 Again,2009,"Comedy, Drama, Fantasy",6.4,48,165607,936662225
492,Ice Age: Collision Course,2016,"Animation, Adventure, Comedy",5.7,34,47617,936662225
493,Happy Feet Two,2011,"Animation, Adventure, Comedy",5.9,50,38005,936662225
494,Diary of a Wimpy Kid,2010,"Comedy, Drama, Family",6.2,56,38144,936662225
495,Last Vegas,2013,"Comedy, Drama",6.6,48,120686,936662225
496,The Shape of Water,2017,"Adventure, Drama, Fantasy",7.3,87,297549,936662225
497,Unknown,2011,"Action, Mystery, Thriller",6.9,56,233790,936662225
498,Hope Springs,2012,"Comedy, Drama, Romance",6.3,65,38446,936662225
499,The Time Traveler's Wife,2009,"Drama, Fantasy, Romance",7.1,47,131640,936662225
500,The Sorcerer's Apprentice,2010,"Action, Adventure, Family",6.1,46,142693,936662225
501,A Nightmare on Elm Street,2010,"Crime, Drama, Horror",5.2,35,84886,936662225
502,The Boss,2016,Comedy,5.4,40,38532,936662225
503,The Last Song,2010,"Drama, Music, Romance",5.9,33,73839,936662225
504,London Has Fallen,2016,"Action, Thriller",5.9,28,122862,936662225
505,Black Mass,2015,"Biography, Crime, Drama",6.9,68,154548,936662225
506,The Adjustment Bureau,2011,"Romance, Sci-Fi, Thriller",7.1,60,225884,936662225
507,Underworld Awakening,2012,"Action, Fantasy, Horror",6.4,39,137317,936662225
508,The Wolfman,2010,"Drama, Fantasy, Horror",5.8,43,97235,936662225
509,Ender's Game,2013,"Action, Adventure, Fantasy",6.6,51,209971,936662225
510,Miracles from Heaven,2016,"Biography, Drama, Family",7.1,44,17152,936662225
511,Deepwater Horizon,2016,"Action, Drama, History",7.1,68,131191,936662225
512,Prisoners,2013,"Crime, Drama, Mystery",8.1,74,518591,936662225
513,Get Him to the Greek,2010,"Adventure, Comedy, Music",6.4,65,160788,936662225
514,God's Not Dead,2014,Drama,4.8,16,37699,936662225
515,After Earth,2013,"Action, Adventure, Sci-Fi",4.8,33,180395,936662225
516,The Lucky One,2012,"Drama, Romance",6.5,39,93406,936662225
517,Why Him?,2016,Comedy,6.2,39,88160,936662225
518,Resident Evil: Afterlife,2010,"Action, Adventure, Horror",5.9,37,152035,936662225
519,Why Did I Get Married Too?,2010,"Comedy, Drama, Romance",4.6,43,8599,936662225
520,Brüno,2009,Comedy,5.8,54,133364,936662225
521,Tooth Fairy,2010,"Comedy, Family, Fantasy",5,36,37391,936662225
522,Blockers,2018,Comedy,6.2,69,53918,936662225
523,Secretariat,2010,"Biography, Drama, Family",7.2,61,24277,936662225
524,Son of God,2014,"Biography, Drama, History",5.8,37,17393,936662225
525,The Dictator,2012,Comedy,6.4,58,248413,936662225
526,My Big Fat Greek Wedding 2,2016,"Comedy, Romance",6,37,25616,936662225
527,The Lego Ninjago Movie,2017,"Animation, Action, Adventure",6,55,18117,936662225
528,Pacific Rim: Uprising,2018,"Action, Adventure, Sci-Fi",5.6,44,85665,936662225
529,Planes: Fire & Rescue,2014,"Animation, Adventure, Comedy",6,48,15122,936662225
530,The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",8.1,88,625378,936662225
531,Vacation,2015,"Adventure, Comedy",6.1,34,86483,936662225
532,Total Recall,2012,"Action, Adventure, Mystery",6.3,43,226874,936662225
533,Bride Wars,2009,"Comedy, Romance",5.5,24,93588,936662225
534,Water for Elephants,2011,"Drama, Romance",6.9,52,105199,936662225
535,Jack Reacher: Never Go Back,2016,"Action, Thriller",6.1,47,119412,936662225
536,RoboCop,2014,"Action, Crime, Sci-Fi",6.2,52,204316,936662225
537,Easy A,2010,"Comedy, Drama, Romance",7.1,72,326808,936662225
538,The Secret Life of Walter Mitty,2013,"Adventure, Comedy, Drama",7.3,54,273300,936662225
539,Baywatch,2017,"Action, Comedy, Crime",5.6,37,131103,936662225
540,Maze Runner: The Death Cure,2018,"Action, Sci-Fi, Thriller",6.2,50,87523,936662225
541,The Lincoln Lawyer,2011,"Crime, Drama, Thriller",7.3,63,194833,936662225
542,Takers,2010,"Action, Crime, Thriller",6.2,45,52949,936662225
543,Fences,2016,Drama,7.2,79,85026,936662225
544,Tomb Raider,2018,"Action, Adventure, Fantasy",6.3,48,157058,936662225
545,The Shack,2017,"Drama, Fantasy",6.3,32,25322,936662225
546,The Perfect Guy,2015,"Drama, Thriller",5.6,36,8874,936662225
547,Escape from Planet Earth,2013,"Animation, Adventure, Comedy",5.9,35,23140,936662225
548,American Reunion,2012,Comedy,6.7,49,190817,936662225
549,Midnight in Paris,2011,"Comedy, Fantasy, Romance",7.7,81,353174,936662225
550,12 Years a Slave,2013,"Biography, Drama, History",8.1,96,570116,936662225
551,Joy,2015,Drama,6.6,56,116751,936662225
552,Darkest Hour,2017,"Biography, Drama, History",7.4,75,132626,936662225
553,Dracula Untold,2014,"Action, Drama, Fantasy",6.3,40,163153,936662225
554,Me Before You,2016,"Drama, Romance",7.4,51,168229,936662225
555,Fantastic Four,2015,"Action, Adventure, Drama",4.3,27,138592,936662225
556,ParaNorman,2012,"Animation, Adventure, Comedy",7,72,86378,936662225
557,Friends with Benefits,2011,"Comedy, Romance",6.6,63,314604,936662225
558,Free Birds,2013,"Animation, Adventure, Comedy",5.9,38,20763,936662225
559,Hansel & Gretel: Witch Hunters,2013,"Action, Fantasy, Horror",6.1,23,181605,936662225
560,Happy Death Day,2017,"Horror, Mystery, Thriller",6.5,58,81523,936662225
561,Legend of the Guardians: The Owls of Ga'Hoole,2010,"Animation, Action, Adventure",7,53,73339,936662225
562,The BFG,2016,"Adventure, Family, Fantasy",6.4,66,68353,936662225
563,The Haunting in Connecticut,2009,"Drama, Horror, Mystery",5.9,33,56177,936662225
564,Neighbors 2: Sorority Rising,2016,Comedy,5.7,58,100882,936662225
565,Ghosts of Girlfriends Past,2009,"Comedy, Fantasy, Romance",5.8,34,77161,936662225
566,The Shallows,2016,"Drama, Horror, Thriller",6.3,59,104920,936662225
567,I Am Number Four,2011,"Action, Adventure, Sci-Fi",6.1,36,216283,936662225
568,The Nutcracker and the Four Realms,2018,"Adventure, Family, Fantasy",5.5,39,16289,936662225
569,This Means War,2012,"Action, Comedy, Romance",6.3,31,166414,936662225
570,Project X,2012,Comedy,6.7,48,176516,936662225
571,Office Christmas Party,2016,Comedy,5.8,42,58417,936662225
572,Source Code,2011,"Action, Drama, Sci-Fi",7.5,74,448187,936662225
573,Assassin's Creed,2016,"Action, Adventure, Sci-Fi",5.8,36,164376,936662225
574,Tag,2018,Comedy,6.6,56,76421,936662225
575,New Year's Eve,2011,"Comedy, Romance",5.7,22,76212,936662225
576,"Three Billboards Outside Ebbing, Missouri",2017,"Crime, Drama",8.2,88,330832,936662225
577,Horrible Bosses 2,2014,"Comedy, Crime",6.3,40,142796,936662225
578,The Woman in Black,2012,"Drama, Fantasy, Horror",6.4,62,164307,936662225
579,The Hundred-Foot Journey,2014,"Comedy, Drama",7.3,55,68630,936662225
580,Evil Dead,2013,"Fantasy, Horror, Thriller",6.5,57,145179,936662225
581,The Hateful Eight,2015,"Crime, Drama, Mystery",7.8,68,425088,936662225
582,Barbershop: The Next Cut,2016,"Comedy, Drama",5.9,67,13160,936662225
583,Insidious,2010,"Horror, Mystery, Thriller",6.9,52,250629,936662225
584,Paranormal Activity 4,2012,"Horror, Mystery, Thriller",4.6,40,57904,936662225
585,Focus,2015,"Comedy, Crime, Drama",6.6,56,189964,936662225
586,A Simple Favor,2018,"Comedy, Crime, Drama",6.9,67,75435,936662225
587,Life as We Know It,2010,"Comedy, Drama, Romance",6.6,39,111980,936662225
588,Madea's Big Happy Family,2011,"Comedy, Drama",4.7,45,6942,936662225
589,RED 2,2013,"Action, Comedy, Crime",6.6,47,147403,936662225
590,The Devil Inside,2012,Horror,4.2,18,33339,936662225
591,Letters to Juliet,2010,"Adventure, Comedy, Drama",6.6,50,85478,936662225
592,Life of the Party,2018,Comedy,5.5,46,24021,936662225
593,13 Hours,2016,"Action, Drama, History",7.3,48,101901,936662225
594,Diary of a Wimpy Kid: Rodrick Rules,2011,"Comedy, Family",6.6,51,22778,936662225
595,No Good Deed,2014,"Action, Crime, Drama",5.6,26,15764,936662225
596,Wall Street: Money Never Sleeps,2010,Drama,6.2,59,92965,936662225
597,A Madea Christmas,2013,"Comedy, Drama, Romance",4.9,28,5411,936662225
598,Southpaw,2015,"Drama, Sport",7.4,57,197768,936662225
599,Insidious: Chapter 3,2015,"Horror, Mystery, Thriller",6.1,52,81327,936662225
600,Selma,2014,"Biography, Drama, History",7.5,88,76918,936662225
601,Predators,2010,"Action, Adventure, Sci-Fi",6.4,51,197958,936662225
602,Temptation: Confessions of a Marriage Counselor,2013,"Drama, Thriller",5,26,10940,936662225
603,The Call,2013,"Crime, Drama, Horror",6.7,51,102803,936662225
604,Funny People,2009,"Comedy, Drama",6.3,60,108532,936662225
605,The Odd Life of Timothy Green,2012,"Comedy, Drama, Family",6.6,47,42503,936662225
606,Footloose,2011,"Comedy, Drama, Music",5.9,58,42920,936662225
607,Ghost Rider: Spirit of Vengeance,2011,"Action, Fantasy, Thriller",4.3,34,102529,936662225
608,Lion,2016,"Biography, Drama",8.1,69,178018,936662225
609,I Can Do Bad All by Myself,2009,"Comedy, Drama",4.4,55,9160,936662225
610,The Grey,2011,"Action, Adventure, Drama",6.8,64,227329,936662225
611,Atomic Blonde,2017,"Action, Mystery, Thriller",6.7,63,146218,936662225
612,My Bloody Valentine,2009,"Horror, Mystery, Thriller",5.5,51,50625,936662225
613,American Made,2017,"Action, Biography, Comedy",7.2,65,126679,936662225
614,Muppets Most Wanted,2014,"Adventure, Comedy, Crime",6.4,61,28749,936662225
615,The Predator,2018,"Action, Adventure, Sci-Fi",5.4,48,87367,936662225
616,Ouija,2014,"Horror, Mystery, Thriller",4.5,38,43512,936662225
617,The Boxtrolls,2014,"Animation, Adventure, Comedy",6.8,61,50211,936662225
618,The Dark Tower,2017,"Action, Adventure, Fantasy",5.7,34,104100,936662225
619,Jack Ryan: Shadow Recruit,2014,"Action, Drama, Thriller",6.2,57,113860,936662225
620,If I Stay,2014,"Drama, Fantasy, Music",6.8,46,106397,936662225
621,Overboard,2018,"Comedy, Romance",5.9,42,23113,936662225
622,Hot Tub Time Machine,2010,"Comedy, Sci-Fi",6.4,63,153017,936662225
623,The Book of Life,2014,"Animation, Adventure, Comedy",7.3,67,58835,936662225
624,Sicario: Day of the Soldado,2018,"Action, Crime, Drama",7.1,61,87827,936662225
625,Red Tails,2012,"Action, Adventure, Drama",5.9,46,31641,936662225
626,Pain & Gain,2013,"Action, Comedy, Crime",6.4,45,186306,936662225
627,Old Dogs,2009,"Comedy, Family",5.4,19,34330,936662225
628,Land of the Lost,2009,"Action, Adventure, Comedy",5.4,32,60043,936662225
629,My Sister's Keeper,2009,"Drama, Family",7.4,51,84412,936662225
630,The Possession,2012,"Horror, Mystery, Thriller",5.9,45,53284,936662225
631,Diary of a Wimpy Kid: Dog Days,2012,"Comedy, Family",6.3,54,19290,936662225
632,Lady Bird,2017,"Comedy, Drama",7.4,94,171533,936662225
633,I Feel Pretty,2018,"Comedy, Romance",5.4,48,37156,936662225
634,BlacKkKlansman,2018,"Biography, Crime, Drama",7.5,83,130117,936662225
635,About Last Night,2014,"Comedy, Romance",6.1,62,20897,936662225
636,The Dilemma,2011,"Comedy, Drama",5.3,46,47955,936662225
637,The Huntsman: Winter's War,2016,"Action, Adventure, Drama",6.1,35,86269,936662225
638,Sinister,2012,"Horror, Mystery, Thriller",6.8,53,195976,936662225
639,Kick-Ass,2010,"Action, Comedy",7.6,66,493151,936662225
640,Kubo and the Two Strings,2016,"Animation, Action, Adventure",7.8,84,103635,936662225
641,Vice,2018,"Biography, Comedy, Drama",7.2,61,53311,936662225
642,Manchester by the Sea,2016,Drama,7.8,96,210744,936662225
643,Into the Storm,2014,"Action, Thriller",5.8,44,60455,936662225
644,Poltergeist,2015,"Horror, Thriller",4.9,47,51137,936662225
645,Precious,2009,Drama,7.3,79,99429,936662225
646,Jupiter Ascending,2015,"Action, Adventure, Sci-Fi",5.3,40,164996,936662225
647,Savages,2012,"Crime, Drama, Thriller",6.5,59,114831,936662225
648,Warcraft,2016,"Action, Adventure, Fantasy",6.9,32,223006,936662225
649,Boo 2! A Madea Halloween,2017,"Comedy, Drama, Horror",3.8,17,3262,936662225
650,The Judge,2014,"Crime, Drama",7.4,48,160925,936662225
651,Killers,2010,"Action, Comedy, Romance",5.4,21,81715,936662225
652,Jersey Boys,2014,"Biography, Drama, Music",6.8,54,30147,936662225
653,Sicario,2015,"Action, Crime, Drama",7.6,82,323315,936662225
654,Red Sparrow,2018,"Action, Drama, Thriller",6.6,53,131527,936662225
655,How to Be Single,2016,"Comedy, Drama, Romance",6.1,51,73392,936662225
656,Goosebumps 2: Haunted Halloween,2018,"Adventure, Comedy, Family",5.6,53,9770,936662225
657,Arthur Christmas,2011,"Animation, Adventure, Comedy",7.1,69,45100,936662225
658,The Best Exotic Marigold Hotel,2011,"Comedy, Drama, Romance",7.3,62,85172,936662225
659,Breaking In,2018,"Action, Crime, Drama",5.4,42,9252,936662225
660,Blended,2014,"Comedy, Romance",6.5,31,105211,936662225
661,Mike and Dave Need Wedding Dates,2016,"Adventure, Comedy, Romance",6,51,73757,936662225
662,Gangster Squad,2013,"Action, Crime, Drama",6.7,40,194190,936662225
663,Snatched,2017,"Action, Adventure, Comedy",4.5,45,29356,936662225
664,Underworld: Rise of the Lycans,2009,"Action, Adventure, Fantasy",6.6,44,140998,936662225
665,Saw 3D: The Final Chapter,2010,"Crime, Horror, Mystery",5.6,24,82656,936662225
666,The Great Wall,2016,"Action, Adventure, Fantasy",6,42,109381,936662225
667,Moonrise Kingdom,2012,"Adventure, Comedy, Drama",7.8,84,288940,936662225
668,12 Strong,2018,"Action, Drama, History",6.6,54,47691,936662225
669,The Man from U.N.C.L.E.,2015,"Action, Adventure, Comedy",7.3,56,237509,936662225
670,Here Comes the Boom,2012,"Action, Comedy, Sport",6.4,40,81270,936662225
671,The Giver,2014,"Drama, Romance, Sci-Fi",6.5,47,104045,936662225
672,Hall Pass,2011,"Comedy, Romance",5.9,45,113078,936662225
673,Spotlight,2015,"Crime, Drama",8.1,93,358678,936662225
674,Smurfs: The Lost Village,2017,"Animation, Adventure, Comedy",6,40,15136,936662225
675,Going in Style,2017,"Comedy, Crime",6.6,50,64502,936662225
676,Den of Thieves,2018,"Action, Crime, Drama",7,49,66431,936662225
677,First Man,2018,"Biography, Drama, History",7.4,84,108845,936662225
678,All Eyez on Me,2017,"Biography, Drama, Music",5.8,38,18155,936662225
679,xXx: Return of Xander Cage,2017,"Action, Adventure, Thriller",5.2,42,76813,936662225
680,Cop Out,2010,"Action, Comedy, Crime",5.6,31,81208,936662225
681,Red Dawn,2012,"Action, Sci-Fi, Thriller",5.4,31,69064,936662225
682,The Internship,2013,Comedy,6.3,42,178710,936662225
683,The Artist,2011,"Comedy, Drama, Romance",7.9,89,215960,936662225
684,"McFarland, USA",2015,"Biography, Drama, Sport",7.4,60,31332,936662225
685,Instructions Not Included,2013,"Comedy, Drama",7.6,55,26566,936662225
686,The Three Stooges,2012,"Comedy, Family",5.1,56,28340,936662225
687,47 Meters Down,2017,"Adventure, Drama, Horror",5.6,52,37900,936662225
688,Confessions of a Shopaholic,2009,"Comedy, Family, Romance",5.9,38,70393,936662225
689,St. Vincent,2014,"Comedy, Drama",7.3,64,88802,936662225
690,Hereditary,2018,"Drama, Horror, Mystery",7.3,87,139664,936662225
691,Soul Surfer,2011,"Biography, Drama, Family",7.1,53,41249,936662225
692,The Lovely Bones,2009,"Drama, Fantasy, Thriller",6.7,42,144383,936662225
693,The Gift,2015,"Drama, Mystery, Thriller",7.1,77,122254,936662225
694,Cats & Dogs: The Revenge of Kitty Galore,2010,"Action, Comedy, Family",4.3,30,12469,936662225
695,Need for Speed,2014,"Action, Crime, Thriller",6.5,39,153846,936662225
696,Acrimony,2018,"Drama, Romance, Thriller",5.7,32,5374,936662225
697,Everest,2015,"Action, Adventure, Biography",7.1,64,179395,936662225
698,Year One,2009,"Adventure, Comedy",4.9,34,85433,936662225
699,Edge of Darkness,2010,"Crime, Drama, Mystery",6.6,55,84198,936662225
700,Sherlock Gnomes,2018,"Animation, Adventure, Comedy",5.1,36,7543,936662225
701,A Million Ways to Die in the West,2014,"Comedy, Western",6.1,44,159217,936662225
702,John Wick,2014,"Action, Crime, Thriller",7.3,68,423455,936662225
703,The Night Before,2015,"Adventure, Comedy, Fantasy",6.4,58,57857,936662225
704,War Dogs,2016,"Comedy, Crime, Drama",7.1,57,151076,936662225
705,Snitch,2013,"Action, Drama, Thriller",6.5,51,77444,936662225
706,The Big Sick,2017,"Comedy, Drama, Romance",7.6,86,101935,936662225
707,Gulliver's Travels,2010,"Adventure, Comedy, Family",4.9,33,60586,936662225
708,Death at a Funeral,2010,Comedy,5.7,51,41496,936662225
709,The Unborn,2009,"Drama, Horror, Mystery",4.8,30,46568,936662225
710,Max,2015,"Adventure, Drama, Family",6.8,47,23807,936662225
711,Krampus,2015,"Comedy, Fantasy, Horror",6.2,49,54883,936662225
712,Final Destination 5,2011,Horror,5.9,50,97040,936662225
713,The Age of Adaline,2015,"Drama, Fantasy, Romance",7.2,51,137028,936662225
714,Uncle Drew,2018,"Comedy, Sport",5.7,57,8930,936662225
715,Widows,2018,"Crime, Drama, Thriller",7,84,53471,936662225
716,Step Up 3D,2010,"Drama, Music, Romance",6.2,45,52768,936662225
717,Resident Evil: Retribution,2012,"Action, Horror, Sci-Fi",5.4,39,124200,936662225
718,Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",7.7,88,512159,936662225
719,Drag Me to Hell,2009,"Horror, Thriller",6.6,83,175958,936662225
720,Planet 51,2009,"Animation, Adventure, Comedy",6.1,39,46950,936662225
721,The Cabin in the Woods,2011,"Comedy, Horror",7,72,334641,936662225
722,Riddick,2013,"Action, Adventure, Crime",6.4,49,143657,936662225
723,Dolphin Tale 2,2014,"Drama, Family",6.4,58,7457,936662225
724,Almost Christmas,2016,"Comedy, Drama",6.1,55,5153,936662225
725,Orphan,2009,"Horror, Mystery, Thriller",7,42,173389,936662225
726,Valerian and the City of a Thousand Planets,2017,"Action, Adventure, Fantasy",6.5,51,136629,936662225
727,What to Expect When You're Expecting,2012,"Comedy, Drama, Romance",5.7,41,65405,936662225
728,The Last Exorcism,2010,"Drama, Horror, Thriller",5.6,63,45602,936662225
729,Money Monster,2016,"Crime, Drama, Thriller",6.5,55,85314,936662225
730,End of Watch,2012,"Action, Crime, Drama",7.6,68,209638,936662225
731,The Ides of March,2011,"Drama, Thriller",7.1,67,206515,936662225
732,The Star,2017,"Animation, Adventure, Comedy",6.1,42,5028,936662225
733,"Love, Simon",2018,"Comedy, Drama, Romance",7.6,72,77698,936662225
734,Truth or Dare,2018,"Horror, Thriller",5.1,35,31284,936662225
735,Duplicity,2009,"Comedy, Crime, Romance",6.2,69,45076,936662225
736,Ghost in the Shell,2017,"Action, Drama, Sci-Fi",6.4,52,172666,936662225
737,Paddington 2,2017,"Adventure, Comedy, Family",7.9,88,44429,936662225
738,Hanna,2011,"Action, Drama, Thriller",6.8,65,176734,936662225
739,Legion,2010,"Action, Fantasy, Horror",5.2,32,91376,936662225
740,Allied,2016,"Action, Drama, Romance",7.1,60,123371,936662225
741,A Haunted House,2013,"Comedy, Fantasy",5.1,20,39897,936662225
742,Crazy Heart,2009,"Drama, Music, Romance",7.3,83,78916,936662225
743,Burlesque,2010,"Drama, Music, Musical",6.4,47,70308,936662225
744,The Expendables 3,2014,"Action, Adventure, Thriller",6.1,35,154613,936662225
745,Second Act,2018,"Comedy, Drama, Romance",5.8,46,9100,936662225
746,King Arthur: Legend of the Sword,2017,"Action, Adventure, Drama",6.8,41,165058,936662225
747,The Crazies,2010,"Horror, Thriller",6.5,55,103675,936662225
748,Something Borrowed,2011,"Comedy, Drama, Romance",5.9,36,53927,936662225
749,Earth to Echo,2014,"Adventure, Family, Sci-Fi",5.8,53,17514,936662225
750,Surrogates,2009,"Action, Sci-Fi, Thriller",6.3,45,162665,936662225
751,Nerve,2016,"Action, Adventure, Crime",6.6,58,101043,936662225
752,Sex Tape,2014,"Comedy, Romance",5.1,36,99583,936662225
753,Spy Kids 4: All the Time in the World,2011,"Action, Adventure, Comedy",3.5,37,19642,936662225
754,Rock of Ages,2012,"Comedy, Drama, Musical",5.9,47,69440,936662225
755,47 Ronin,2013,"Action, Adventure, Drama",6.3,28,134309,936662225
756,Brooklyn,2015,"Drama, Romance",7.5,88,115620,936662225
757,Scream 4,2011,"Horror, Mystery",6.2,52,117847,936662225
758,Ninja Assassin,2009,"Action, Thriller",6.4,34,64174,936662225
759,Jigsaw,2017,"Crime, Horror, Mystery",5.8,39,55633,936662225
760,"Big Mommas: Like Father, Like Son",2011,"Action, Comedy, Crime",4.4,22,23288,936662225
761,Wild,2014,"Adventure, Biography, Drama",7.1,76,109103,936662225
762,August: Osage County,2013,Drama,7.2,58,78869,936662225
763,For Colored Girls,2010,Drama,6.1,50,6681,936662225
764,Philomena,2013,"Biography, Comedy, Drama",7.6,77,88134,936662225
765,Red Riding Hood,2011,"Fantasy, Horror, Mystery",5.5,29,101720,936662225
766,In Time,2011,"Action, Crime, Drama",6.7,53,343404,936662225
767,Abraham Lincoln: Vampire Hunter,2012,"Action, Fantasy, Horror",5.9,42,141983,936662225
768,Invictus,2009,"Biography, Drama, History",7.3,74,139937,936662225
769,The Back-up Plan,2010,"Comedy, Romance",5.4,34,45780,936662225
770,The Longest Ride,2015,"Drama, Romance",7.1,33,69477,936662225
771,Paul,2011,"Animation, Adventure, Comedy",7,57,218640,936662225
772,Lawless,2012,"Crime, Drama",7.3,58,212575,936662225
773,J. Edgar,2011,"Biography, Crime, Drama",6.6,59,115162,936662225
774,The Roommate,2011,"Drama, Thriller",4.9,23,32744,936662225
775,Jumping the Broom,2011,"Comedy, Drama",5.7,56,8979,936662225
776,The Guilt Trip,2012,"Comedy, Drama",5.8,50,33537,936662225
777,The Change-Up,2011,"Comedy, Fantasy",6.3,39,154011,936662225
778,30 Minutes or Less,2011,"Action, Comedy, Crime",6.1,49,86625,936662225
779,State of Play,2009,"Crime, Drama, Mystery",7.1,64,126203,936662225
780,That's My Boy,2012,Comedy,5.6,31,82056,936662225
781,The Family,2013,"Comedy, Crime, Thriller",6.3,42,101843,936662225
782,Risen,2016,"Action, Adventure, Drama",6.3,51,22194,936662225
783,Notorious,2009,"Biography, Crime, Drama",6.7,60,37847,936662225
784,Colombiana,2011,"Action, Drama, Thriller",6.4,45,86906,936662225
785,Vampires Suck,2010,Comedy,3.4,18,43667,936662225
786,Million Dollar Arm,2014,"Biography, Drama, Sport",7,56,40728,936662225
787,Sucker Punch,2011,"Action, Fantasy",6.1,33,217133,936662225
788,The Commuter,2018,"Action, Mystery, Thriller",6.3,56,79581,936662225
789,The Nice Guys,2016,"Action, Comedy, Crime",7.4,70,235700,936662225
790,The 15:17 to Paris,2018,"Biography, Drama",5.2,45,20794,936662225
791,American Assassin,2017,"Action, Thriller",6.2,45,56541,936662225
792,Mile 22,2018,"Action, Adventure, Thriller",6.1,38,43984,936662225
793,Walking with Dinosaurs 3D,2013,"Animation, Adventure, Family",5.2,37,10049,936662225
794,The Pink Panther 2,2009,"Action, Adventure, Comedy",5.6,36,38763,936662225
795,The Theory of Everything,2014,"Biography, Drama, Romance",7.7,72,356090,936662225
796,Alpha,2018,"Adventure, Drama, Family",6.7,63,37792,936662225
797,The Boy,2016,"Horror, Mystery, Thriller",6,42,67744,936662225
798,Trouble with the Curve,2012,"Drama, Sport",6.8,58,55587,936662225
799,Larry Crowne,2011,"Comedy, Drama, Romance",6.1,41,58369,936662225
800,The American,2010,"Crime, Drama, Thriller",6.3,61,86407,936662225
801,Dirty Grandpa,2016,Comedy,5.9,21,99584,936662225
802,Peppermint,2018,"Action, Crime, Drama",6.5,29,32121,936662225
803,The Boy Next Door,2015,"Drama, Horror, Romance",4.7,30,34428,936662225
804,The Watch,2012,"Action, Comedy, Horror",5.7,36,115135,936662225
805,Frankenweenie,2012,"Animation, Comedy, Family",7,74,88465,936662225
806,Carrie,2013,"Drama, Horror",5.9,53,124249,936662225
807,Pan,2015,"Adventure, Comedy, Family",5.8,36,55360,936662225
808,Step Up Revolution,2012,"Drama, Music, Romance",6.5,43,50940,936662225
809,Drive,2011,"Crime, Drama",7.8,78,516509,936662225
810,Green Zone,2010,"Action, Drama, Thriller",6.8,63,121542,936662225
811,A Very Harold & Kumar 3D Christmas,2011,"Adventure, Comedy",6.3,61,61810,936662225
812,Good Deeds,2012,"Comedy, Drama, Romance",5.5,43,6991,936662225
813,50/50,2011,"Comedy, Drama, Romance",7.7,72,298589,936662225
814,The 5th Wave,2016,"Action, Adventure, Drama",5.2,33,89589,936662225
815,Ouija: Origin of Evil,2016,"Drama, Horror, Mystery",6.1,65,46232,936662225
816,Viy,2014,"Adventure, Fantasy, Mystery",5.3,?,4301,936662225
